Stanley crane
"Roadrunner, greater"
Slender loris
"Loris, slender"
"Booby, blue-faced"
Ringtail
White-winged black tern
Clark's nutcracker
Musk ox
"Dog, bush"
Bohor reedbuck
"Colobus, black and white"
Gemsbok
Blue fox
Uinta ground squirrel
Sally lightfoot crab
"Lizard, mexican beaded"
Mountain goat
"Stork, european"
Scaly-breasted lorikeet
"Goose, knob-nosed"
Short-beaked echidna
Fisher
"Bunting, crested"
Crown of thorns starfish
"Pigeon, wood"
"Gorilla, western lowland"
"Flicker, field"
"Swan, trumpeter"
Fisher
"Squirrel, golden-mantled ground"
Cormorant (unidentified)
Red-billed tropic bird
Cape fox
"Tortoise, burmese black mountain"
Plains zebra
Native cat
Comb duck
Greater flamingo
African wild cat
"Antelope, four-horned"
Long-crested hawk eagle
Horned puffin
"Avocet, pied"
"Gecko, ring-tailed"
"Rat, desert kangaroo"
Bare-faced go away bird
North American porcupine
Blue wildebeest
"Hawk-eagle, crowned"
Puku
"Iguana, common green"
"Quoll, eastern"
"Parakeet, rose-ringed"
Malleefowl
Mourning collared dove
"Cat, native"
Tammar wallaby
Bent-toed gecko
Blue shark
Gray duiker
"Bear, sloth"
Paca
"Dragon, ornate rock"
"Antelope, roan"
Cape fox
Elegant crested tinamou
"Squirrel, malabar"
"Coatimundi, white-nosed"
Arctic tern
Greater roadrunner
"Opossum, american virginia"
"Curlew, black"
Asian false vampire bat
Brush-tailed phascogale
"Dove, galapagos"
Agouti
"Kangaroo, eastern grey"
"Tortoise, radiated"
"Woodpecker, downy"
Ground monitor (unidentified)
Australian sea lion
Galah
"Antelope, sable"
White-throated toucan
"Porcupine, crested"
Northern fur seal
"Possum, western pygmy"
"Deer, barasingha"
"Duck, blue"
Bushbuck
"Stork, saddle-billed"
"Deer, red"
Malagasy ground boa
African wild dog
"Vulture, black"
Mallard
"Echidna, short-beaked"
"Turtle, long-necked"
Scarlet macaw
Common langur
"Eland, common"
"Ferret, black-footed"
"Roller, lilac-breasted"
"Armadillo, giant"
African fish eagle
Native cat
Red-tailed hawk
Killer whale
"Heron, yellow-crowned night"
Kelp gull
White-throated kingfisher
Crab-eating raccoon
Sun gazer
Stone sheep
"Fox, crab-eating"
"Cormorant, javanese"
Racer snake
Eastern indigo snake
Common zebra
Crab-eating raccoon
Tropical buckeye butterfly
Kaffir cat
Sidewinder
"Raven, cape"
Plains zebra
Common mynah
Lesser masked weaver
"Wildebeest, blue"
Indian mynah
Spur-winged goose
Giant heron
"Heron, green"
"Lemur, sportive"
Four-horned antelope
Indian tree pie
"Antechinus, brown"
"Crab, red lava"
Javan gold-spotted mongoose
"Jackal, black-backed"
Lesser masked weaver
"Iguana, land"
Long-crested hawk eagle
"Bird, secretary"
"Cormorant, neotropic"
Blue catfish
Ant (unidentified)
Golden-mantled ground squirrel
Large-eared bushbaby
Asiatic jackal
"Baboon, yellow"
Black-backed jackal
Asian water buffalo
"Dove, galapagos"
Mara
"Eagle, pallas's fish"
European spoonbill
"Hornbill, yellow-billed"
California sea lion
American bison
White-tailed deer
Black bear
"Heron, striated"
"Shark, blue"
"Elephant, asian"
"Cockatoo, red-breasted"
"Egret, cattle"
"Bustard, kori"
Common ringtail
Musk ox
Violet-crested turaco
"Eagle, pallas's fish"
Dabchick
Cape fox
Cape white-eye
Arctic tern
"Beaver, european"
"Spurfowl, yellow-necked"
Yellow mongoose
White-faced whistling duck
"Booby, blue-faced"
Black swan
"Snake, tiger"
"Crane, sarus"
"Jackal, golden"
"Robin, white-throated"
Eastern quoll
Northern fur seal
"Fox, blue"
Sarus crane
"Rhea, gray"
Bushbuck
"Lynx, african"
"Gull, silver"
White-lipped peccary
Tsessebe
African porcupine
"Sloth, two-toed tree"
White-cheeked pintail
"Vulture, king"
"Fox, savanna"
"Crane, black-crowned"
"Wapiti, elk,"
"Lion, asian"
"Toucan, red-billed"
Mexican boa
"Flamingo, roseat"
"Eland, common"
"Squirrel, thirteen-lined"
African wild cat
Turtle (unidentified)
Lesser double-collared sunbird
"Mouse, four-striped grass"
Mississippi alligator
European beaver
Southern black-backed gull
"Marten, american"
"Thrasher, curve-billed"
Radiated tortoise
"Vulture, white-headed"
Snow goose
"Buffalo, african"
Grey phalarope
Campo flicker
Platypus
"Vulture, griffon"
Northern elephant seal
Brown lemur
"Weaver, chestnut"
Ground monitor (unidentified)
Peregrine falcon
"Sandgrouse, yellow-throated"
"Hawk-eagle, crowned"
Two-toed tree sloth
"Goat, mountain"
"Duiker, common"
Tyrant flycatcher
Least chipmunk
American black bear
"Trumpeter, green-winged"
"Bird, pied butcher"
Brown and yellow marshbird
Radiated tortoise
"Pigeon, feral rock"
"Hyena, brown"
"Gull, silver"
"Starling, cape"
"Fox, asian red"
Crab-eating fox
"Owl, burrowing"
"Tapir, brazilian"
"Cockatoo, slender-billed"
"Mynah, indian"
"Eagle, pallas's fish"
Pine squirrel
"Tern, royal"
Greater sage grouse
Common goldeneye
"Jackal, silver-backed"
"Duck, mountain"
Desert tortoise
Common wombat
"Lemming, arctic"
Savannah deer
"Goose, knob-nosed"
Swallow-tail gull
"Otter, canadian river"
Gambel's quail
Olive baboon
"Crane, sarus"
Pocket gopher (unidentified)
"Parakeet, rose-ringed"
Emu
Bush dog
Black-capped capuchin
"Mynah, common"
Eurasian badger
Thomson's gazelle
Puna ibis
Clark's nutcracker
Red brocket
"Goose, knob-nosed"
Pacific gull
Azara's zorro
Crowned eagle
"Brocket, red"
"Badger, eurasian"
"Deer, barasingha"
"Wallaroo, common"
Lesser double-collared sunbird
Common grenadier
"Crane, sandhill"
Numbat
Tawny eagle
Savannah deer (unidentified)
"Starling, cape"
Numbat
"Parrot, hawk-headed"
Tammar wallaby
Woodchuck
Kinkajou
"Skua, long-tailed"
"Sunbird, lesser double-collared"
Indian mynah
Fringe-eared oryx
House sparrow
"Gecko, tokay"
"Capuchin, black-capped"
European red squirrel
"Cormorant, large"
"Squirrel, red"
"Sandpiper, spotted wood"
Yellow-headed caracara
"Trumpeter, dark-winged"
"Cat, kaffir"
Yellow baboon
"Marmot, yellow-bellied"
Mudskipper (unidentified)
"Grebe, little"
Western patch-nosed snake
Wattled crane
Oriental white-backed vulture
Tokay gecko
Two-toed tree sloth
Reindeer
"Barbet, black-collared"
Savannah deer
White-winged black tern
"Rat, arboral spiny"
"Seal, harbor"
American badger
"Stork, white"
"Lion, asian"
Lesser flamingo
Black-tailed deer
Python (unidentified)
"Oystercatcher, blackish"
Southern ground hornbill
Burchell's gonolek
North American river otter
"Bird, red-billed tropic"
Crimson-breasted shrike
Indian jackal
Long-tailed spotted cat
Cattle egret
"Jaeger, long-tailed"
"Goat, mountain"
Blue shark
"Hawk, red-tailed"
"Phalarope, northern"
"Baboon, gelada"
"Legaan, Monitor (unidentified)"
"Brocket, red"
Wattled crane
Pied avocet
Red-legged pademelon
Jungle cat
Hottentot teal
Bleeding heart monkey
"Stork, white"
Civet (unidentified)
"Raven, cape"
"Sloth, two-toed"
Water monitor
"Iguana, marine"
Musk ox
"Genet, common"
Coqui partridge
Dusky gull
"Hawk, red-tailed"
Spotted deer
Impala
"Cormorant, flightless"
"Moccasin, water"
Asian red fox
White-cheeked pintail
"Bat, little brown"
Common langur
"Shark, blue"
"Capuchin, black-capped"
Great egret
Dingo
Cape Barren goose
Eastern diamondback rattlesnake
"Wallaby, dama"
Burmese brown mountain tortoise
Southern screamer
"Stork, greater adjutant"
White-faced tree rat
"Vulture, bengal"
"Zorro, azara's"
Galapagos penguin
"Flycatcher, tyrant"
Blackbuck
"Lemur, grey mouse"
Red-necked wallaby
Black-capped capuchin
"Bleu, blue-breasted cordon"
"Fox, blue"
"Dove, little brown"
Kirk's dik dik
Common waterbuck
Pale white-eye
Giant anteater
Sage grouse
Praying mantis (unidentified)
Red brocket
Vervet monkey
"Wallaby, dama"
"Snake, carpet"
"Egret, snowy"
Komodo dragon
Wolf spider
"Cat, tiger"
Eastern grey kangaroo
Three-banded plover
American marten
White-headed vulture
"Boa, malagasy ground"
Long-nosed bandicoot
Asian elephant
Superb starling
"Tamandua, southern"
African lion
Common pheasant
"Gazer, sun"
Indian leopard
"Bleu, blue-breasted cordon"
Indian star tortoise
Brown and yellow marshbird
South American puma
Waved albatross
Laughing kookaburra
"Kangaroo, red"
"Mongoose, javan gold-spotted"
"Fox, bat-eared"
"Vulture, white-rumped"
"Buffalo, african"
Southern white-crowned shrike
Jungle cat
Common long-nosed armadillo
White-throated kingfisher
Common long-nosed armadillo
"Otter, oriental short-clawed"
"Heron, giant"
Carpet snake
African red-eyed bulbul
"Trotter, lily"
Arctic fox
"Plover, three-banded"
Rufous-collared sparrow
Boat-billed heron
"Duiker, common"
"Fox, blue"
Black bear
Southern right whale
"Skunk, striped"
Arctic fox
Arctic ground squirrel
Black-faced kangaroo
"Iguana, marine"
Paca
Black-capped capuchin
"Wallaby, whip-tailed"
"Squirrel, pine"
"Admiral, indian red"
"Skink, african"
"Owl, madagascar hawk"
"Wallaby, agile"
Polar bear
"Wallaby, red-necked"
Long-tailed jaeger
"Dove, ring"
"Monster, gila"
Tiger
Raccoon dog
Mule deer
Urial
"Raven, white-necked"
Whip-tailed wallaby
"Dragon, asian water"
"Penguin, galapagos"
White-tailed jackrabbit
"Stork, openbill"
"Owl, white-browed"
"Seal, common"
"Phascogale, brush-tailed"
"Waxbill, violet-eared"
Grey lourie
"Falcon, peregrine"
"Marmot, yellow-bellied"
Lava gull
Southern white-crowned shrike
Hoffman's sloth
Meerkat
Elegant crested tinamou
"Pintail, white-cheeked"
North American red fox
Cougar
"Grebe, little"
"Pademelon, red-legged"
Canadian tiger swallowtail butterfly
African red-eyed bulbul
"Opossum, american virginia"
"Tarantula, salmon pink bird eater"
"Python, carpet"
Bonnet macaque
Brazilian tapir
"Darter, african"
"Fox, blue"
Frog (unidentified)
Caracal
Olive baboon
"Macaw, green-winged"
Blue-breasted cordon bleu
Dassie
Miner's cat
Crown of thorns starfish
Ferruginous hawk
"Possum, pygmy"
Egyptian cobra
"Snake, tiger"
"Cockatoo, slender-billed"
Water monitor
Glossy starling (unidentified)
Pig-tailed macaque
"Duck, comb"
"Lechwe, kafue flats"
"Shark, blue"
Genoveva
"Phalarope, grey"
African porcupine
"Squirrel, indian giant"
Common wombat
"Squirrel, grey-footed"
Yellow-brown sungazer
Roseat flamingo
"Hornbill, yellow-billed"
Waved albatross
Whip-tailed wallaby
"Vulture, white-headed"
"Beaver, european"
Red-headed woodpecker
"Baboon, olive"
Brindled gnu
"Darter, african"
"Vulture, white-headed"
"Pigeon, feral rock"
"Starling, superb"
Currasow (unidentified)
Thomson's gazelle
Spotted deer
"Heron, boat-billed"
"Goose, cape barren"
Large-eared bushbaby
Brown brocket
"Grouse, sage"
"Roadrunner, greater"
"Lemur, grey mouse"
"Weaver, white-browed sparrow"
"Iguana, marine"
"Vulture, king"
"Skua, great"
Red deer
Silver gull
Mourning collared dove
"Kiskadee, great"
"Whale, long-finned pilot"
Four-horned antelope
"Lemur, grey mouse"
"Wagtail, african pied"
California sea lion
Red-legged pademelon
Pine snake (unidentified)
White-necked stork
Oriental short-clawed otter
"Gull, silver"
"Squirrel, african bush"
European red squirrel
Stick insect
Malay squirrel (unidentified)
Wood pigeon
Ring-tailed coatimundi
Common palm civet
"Crane, brolga"
"Badger, european"
"Cat, jungle"
"Turtle, long-necked"
Brown brocket
"Fox, cape"
Black-faced kangaroo
"Macaque, japanese"
Common mynah
